18.02.2016,Audi a3 e-tron" alt="Audi a3 e-tron" 
18.02.2016,Mitsubishi Outlander PhEV" alt="Mitsubishi Outlander PhEV" 
18.02.2016,Audi a3 e-tron"
18.02.2016,Audi Q7 E&ndash;tron Quattro 373 hk "
18.02.2016,BMW x5"
18.02.2016,VW Golf Highline 4Motion 5D 110 TDI "
18.02.2016,Mercedes- Benz Glc 350e  "
18.02.2016,Opel Corsa   1.3 Cdti 95hk Ecoflex cosmo "
18.02.2016,Mitsubishi Outlander PhEV"
18.02.2016,Renault Zoe Life Easy Charge"
18.02.2016,Tesla Model S"
18.02.2016,VW  Golf Highline 4Motion STV 110 TDI "
18.02.2016, VW Passat GTE Stv"
18.02.2016,LeasePlan Go"
